[ 06:56:56 ]BEB2 :24 [°C], 76.16 RH, 0.9244 bar
[ 08:16:01 ]CECE :29 [°C], 65.69 RH, 0.9225 bar

[ 08:16:01 ]BEB2 :28 [°C], 67.83 RH, 0.9238 bar

[ 08:16:01 ]EEEE :29 [°C], 69.75 RH, 0.9238 bar

[ 08:16:01 ]CCCC :30 [°C], 60.17 RH, 0.9244 bar

[ 08:16:01 ]DAD1 :30 [°C], 63.15 RH, 0.9238 bar

[ 08:16:07 ]EEEE :29 [°C], 68.43 RH, 0.9238 bar

[ 08:16:07 ]CCCC :30 [°C], 60.20 RH, 0.9238 bar

[ 08:16:07 ]CECE :29 [°C], 65.66 RH, 0.9232 bar

[ 08:16:07 ]DAD1 :30 [°C], 63.21 RH, 0.9232 bar

[ 08:16:07 ]BEB2 :28 [°C], 67.76 RH, 0.9232 bar

[ 08:16:10 ]CCCC :30 [°C], 60.17 RH, 0.9232 bar

[ 08:16:10 ]EEEE :29 [°C], 68.15 RH, 0.9238 bar

[ 08:16:10 ]DAD1 :30 [°C], 63.21 RH, 0.9238 bar

[ 08:16:10 ]BEB2 :28 [°C], 67.76 RH, 0.9238 bar

[ 08:16:10 ]CECE :29 [°C], 65.62 RH, 0.9225 bar

[ 08:16:22 ]BEB2 :28 [°C], 67.72 RH, 0.9251 bar

[ 08:16:22 ]CECE :30 [°C], 65.45 RH, 0.9244 bar

[ 08:16:22 ]CCCC :30 [°C], 60.14 RH, 0.9232 bar

[ 08:16:22 ]DAD1 :30 [°C], 63.27 RH, 0.9238 bar

[ 08:16:22 ]EEEE :29 [°C], 67.93 RH, 0.9238 bar

[ 08:16:25 ]DAD1 :30 [°C], 63.27 RH, 0.9232 bar

[ 08:16:25 ]EEEE :29 [°C], 67.90 RH, 0.9238 bar

[ 08:16:25 ]CCCC :30 [°C], 60.11 RH, 0.9244 bar

[ 08:16:25 ]CECE :29 [°C], 65.42 RH, 0.9232 bar

[ 08:16:25 ]BEB2 :28 [°C], 67.65 RH, 0.9238 bar

[ 08:16:31 ]CECE :30 [°C], 65.42 RH, 0.9232 bar

[ 08:16:31 ]CCCC :30 [°C], 60.11 RH, 0.9232 bar

[ 08:16:31 ]EEEE :29 [°C], 67.51 RH, 0.9219 bar

[ 08:16:31 ]BEB2 :28 [°C], 67.52 RH, 0.9238 bar

[ 08:16:31 ]DAD1 :30 [°C], 63.21 RH, 0.9238 bar

[ 08:16:34 ]EEEE :29 [°C], 67.39 RH, 0.9225 bar

[ 08:16:34 ]DAD1 :30 [°C], 63.18 RH, 0.9251 bar

[ 08:16:34 ]BEB2 :28 [°C], 67.49 RH, 0.9238 bar

[ 08:16:34 ]CECE :30 [°C], 65.39 RH, 0.9232 bar

[ 08:16:34 ]CCCC :30 [°C], 60.29 RH, 0.9244 bar

[ 08:16:43 ]EEEE :28 [°C], 67.28 RH, 0.9251 bar

[ 08:16:43 ]DAD1 :30 [°C], 63.15 RH, 0.9244 bar

[ 08:16:43 ]BEB2 :28 [°C], 67.36 RH, 0.9244 bar

[ 08:16:43 ]CECE :30 [°C], 65.36 RH, 0.9225 bar

[ 08:16:43 ]CCCC :30 [°C], 60.47 RH, 0.9232 bar

[ 08:16:46 ]CCCC :30 [°C], 60.47 RH, 0.9251 bar

[ 08:16:46 ]EEEE :28 [°C], 67.28 RH, 0.9225 bar

[ 08:16:46 ]DAD1 :30 [°C], 63.15 RH, 0.9257 bar

[ 08:16:46 ]CECE :30 [°C], 65.36 RH, 0.9232 bar

[ 08:16:46 ]BEB2 :28 [°C], 67.27 RH, 0.9238 bar

[ 08:16:49 ]DAD1 :30 [°C], 63.15 RH, 0.9238 bar

[ 08:16:49 ]BEB2 :28 [°C], 67.23 RH, 0.9257 bar

[ 08:16:49 ]EEEE :28 [°C], 67.25 RH, 0.9238 bar

[ 08:16:58 ]CCCC :30 [°C], 60.56 RH, 0.9238 bar

[ 08:16:58 ]CECE :30 [°C], 65.51 RH, 0.9225 bar

[ 08:16:58 ]EEEE :28 [°C], 67.47 RH, 0.9232 bar

[ 08:16:58 ]DAD1 :30 [°C], 63.18 RH, 0.9238 bar

[ 08:16:58 ]BEB2 :28 [°C], 67.17 RH, 0.9244 bar

[ 08:17:02 ]EEEE :28 [°C], 67.53 RH, 0.9238 bar

[ 08:17:02 ]BEB2 :28 [°C], 67.14 RH, 0.9244 bar

[ 08:17:02 ]CCCC :30 [°C], 60.76 RH, 0.9238 bar

[ 08:17:02 ]CECE :30 [°C], 65.60 RH, 0.9225 bar

[ 08:17:02 ]DAD1 :30 [°C], 63.21 RH, 0.9238 bar

[ 08:17:05 ]CECE :30 [°C], 65.69 RH, 0.9225 bar

[ 08:17:05 ]EEEE :28 [°C], 67.59 RH, 0.9232 bar

[ 08:17:05 ]BEB2 :28 [°C], 67.17 RH, 0.9257 bar

[ 08:17:05 ]CCCC :30 [°C], 60.83 RH, 0.9232 bar

[ 08:17:05 ]DAD1 :30 [°C], 63.21 RH, 0.9244 bar

[ 08:17:08 ]CCCC :30 [°C], 60.86 RH, 0.9225 bar

[ 08:17:08 ]CECE :29 [°C], 65.75 RH, 0.9225 bar

[ 08:17:08 ]DAD1 :30 [°C], 63.27 RH, 0.9244 bar

[ 08:17:08 ]EEEE :28 [°C], 67.59 RH, 0.9232 bar

[ 08:17:09 ]BEB2 :28 [°C], 67.17 RH, 0.9244 bar

[ 08:17:11 ]CECE :29 [°C], 65.84 RH, 0.9225 bar

[ 08:17:11 ]BEB2 :28 [°C], 67.11 RH, 0.9238 bar

[ 08:17:11 ]DAD1 :30 [°C], 63.29 RH, 0.9238 bar

[ 08:17:11 ]CCCC :30 [°C], 60.89 RH, 0.9232 bar

[ 08:17:12 ]EEEE :28 [°C], 67.70 RH, 0.9244 bar

[ 08:17:14 ]EEEE :28 [°C], 67.84 RH, 0.9244 bar

[ 08:17:14 ]CCCC :30 [°C], 60.89 RH, 0.9238 bar

[ 08:17:14 ]BEB2 :28 [°C], 67.01 RH, 0.9238 bar

[ 08:17:14 ]DAD1 :30 [°C], 63.37 RH, 0.9238 bar

[ 08:17:15 ]CECE :29 [°C], 65.95 RH, 0.9232 bar

[ 08:17:17 ]DAD1 :30 [°C], 63.43 RH, 0.9225 bar

[ 08:17:17 ]EEEE :28 [°C], 67.87 RH, 0.9244 bar

[ 08:17:18 ]CECE :30 [°C], 65.98 RH, 0.9244 bar

[ 08:17:18 ]CCCC :30 [°C], 60.89 RH, 0.9232 bar

[ 08:17:18 ]BEB2 :28 [°C], 66.95 RH, 0.9225 bar

[ 08:17:20 ]BEB2 :29 [°C], 66.79 RH, 0.9232 bar

[ 08:17:20 ]CCCC :30 [°C], 60.86 RH, 0.9244 bar

[ 08:17:20 ]CECE :30 [°C], 65.92 RH, 0.9225 bar

[ 08:17:21 ]EEEE :28 [°C], 67.88 RH, 0.9232 bar

[ 08:17:21 ]DAD1 :30 [°C], 63.43 RH, 0.9244 bar

[ 08:17:23 ]DAD1 :30 [°C], 63.46 RH, 0.9232 bar

[ 08:17:23 ]CCCC :30 [°C], 60.80 RH, 0.9238 bar

[ 08:17:24 ]CECE :30 [°C], 65.84 RH, 0.9244 bar

[ 08:17:24 ]BEB2 :28 [°C], 66.71 RH, 0.9225 bar

[ 08:17:24 ]EEEE :28 [°C], 67.92 RH, 0.9232 bar

[ 08:17:33 ]DAD1 :30 [°C], 63.66 RH, 0.9238 bar

[ 08:17:33 ]EEEE :28 [°C], 67.97 RH, 0.9232 bar

[ 08:17:33 ]BEB2 :29 [°C], 66.73 RH, 0.9244 bar

[ 08:17:33 ]CCCC :30 [°C], 60.94 RH, 0.9232 bar

[ 08:17:36 ]CCCC :30 [°C], 61.06 RH, 0.9251 bar

[ 08:17:36 ]EEEE :28 [°C], 68.05 RH, 0.9232 bar

[ 08:17:36 ]DAD1 :30 [°C], 63.74 RH, 0.9232 bar

[ 08:17:36 ]BEB2 :29 [°C], 66.85 RH, 0.9244 bar

[ 08:17:36 ]CECE :30 [°C], 65.51 RH, 0.9232 bar

[ 08:17:39 ]CECE :30 [°C], 65.42 RH, 0.9232 bar

[ 08:17:39 ]CCCC :30 [°C], 61.21 RH, 0.9232 bar

[ 08:17:39 ]DAD1 :30 [°C], 63.77 RH, 0.9238 bar

[ 08:17:39 ]EEEE :28 [°C], 68.11 RH, 0.9232 bar

[ 08:17:39 ]BEB2 :28 [°C], 66.92 RH, 0.9244 bar

[ 08:17:42 ]BEB2 :28 [°C], 67.66 RH, 0.9244 bar

[ 08:17:42 ]DAD1 :30 [°C], 63.79 RH, 0.9238 bar

[ 08:17:42 ]EEEE :28 [°C], 68.20 RH, 0.9232 bar

[ 08:17:42 ]CCCC :30 [°C], 61.24 RH, 0.9232 bar

[ 08:17:42 ]CECE :30 [°C], 65.36 RH, 0.9232 bar

[ 08:17:45 ]CECE :30 [°C], 65.27 RH, 0.9244 bar

[ 08:17:45 ]DAD1 :30 [°C], 63.82 RH, 0.9232 bar

[ 08:17:45 ]BEB2 :28 [°C], 68.72 RH, 0.9244 bar

[ 08:17:45 ]CCCC :30 [°C], 61.24 RH, 0.9238 bar

[ 08:17:45 ]EEEE :28 [°C], 68.36 RH, 0.9244 bar

[ 08:17:48 ]CECE :30 [°C], 65.42 RH, 0.9232 bar

[ 08:17:48 ]DAD1 :29 [°C], 63.87 RH, 0.9232 bar

[ 08:17:48 ]BEB2 :29 [°C], 68.46 RH, 0.9244 bar

[ 08:17:48 ]EEEE :28 [°C], 68.44 RH, 0.9244 bar

[ 08:17:48 ]CCCC :30 [°C], 61.21 RH, 0.9232 bar

[ 08:17:54 ]CECE :30 [°C], 65.69 RH, 0.9232 bar

[ 08:17:54 ]EEEE :28 [°C], 68.61 RH, 0.9232 bar

[ 08:17:54 ]CCCC :30 [°C], 61.09 RH, 0.9232 bar

[ 08:17:54 ]DAD1 :29 [°C], 64.04 RH, 0.9225 bar

[ 08:17:54 ]BEB2 :29 [°C], 67.62 RH, 0.9232 bar

[ 08:17:57 ]CCCC :30 [°C], 61.03 RH, 0.9238 bar

[ 08:17:57 ]DAD1 :29 [°C], 63.98 RH, 0.9238 bar

[ 08:17:57 ]EEEE :28 [°C], 68.61 RH, 0.9238 bar

[ 08:17:57 ]BEB2 :29 [°C], 67.30 RH, 0.9244 bar

[ 08:17:57 ]CECE :30 [°C], 65.72 RH, 0.9225 bar

[ 08:18:00 ]DAD1 :29 [°C], 63.95 RH, 0.9225 bar

[ 08:18:00 ]CCCC :30 [°C], 60.97 RH, 0.9238 bar

[ 08:18:00 ]CECE :30 [°C], 65.72 RH, 0.9232 bar

[ 08:18:00 ]EEEE :28 [°C], 68.60 RH, 0.9232 bar

[ 08:18:00 ]BEB2 :29 [°C], 67.17 RH, 0.9244 bar

[ 08:18:03 ]EEEE :28 [°C], 68.65 RH, 0.9232 bar

[ 08:18:03 ]CCCC :30 [°C], 61.03 RH, 0.9232 bar

[ 08:18:03 ]DAD1 :29 [°C], 63.95 RH, 0.9225 bar

[ 08:18:03 ]BEB2 :29 [°C], 67.08 RH, 0.9238 bar

[ 08:18:04 ]CECE :30 [°C], 65.72 RH, 0.9225 bar

[ 08:18:06 ]CECE :29 [°C], 65.71 RH, 0.9225 bar

[ 08:18:06 ]BEB2 :29 [°C], 67.01 RH, 0.9244 bar

[ 08:18:06 ]DAD1 :29 [°C], 63.98 RH, 0.9225 bar

[ 08:18:06 ]CCCC :30 [°C], 61.12 RH, 0.9238 bar

[ 08:18:12 ]DAD1 :29 [°C], 63.95 RH, 0.9225 bar

[ 08:18:12 ]CECE :29 [°C], 65.86 RH, 0.9232 bar

[ 08:18:12 ]CCCC :30 [°C], 61.12 RH, 0.9251 bar

[ 08:18:13 ]EEEE :28 [°C], 68.77 RH, 0.9232 bar

[ 08:18:13 ]BEB2 :29 [°C], 66.92 RH, 0.9244 bar

[ 08:18:18 ]CECE :29 [°C], 65.89 RH, 0.9244 bar

[ 08:18:18 ]DAD1 :29 [°C], 63.92 RH, 0.9238 bar

[ 08:18:18 ]BEB2 :29 [°C], 66.85 RH, 0.9232 bar

[ 08:18:19 ]EEEE :28 [°C], 68.91 RH, 0.9232 bar

[ 08:18:19 ]CCCC :30 [°C], 61.21 RH, 0.9232 bar

[ 08:18:21 ]DAD1 :29 [°C], 63.92 RH, 0.9238 bar

[ 08:18:21 ]CCCC :30 [°C], 61.18 RH, 0.9244 bar

[ 08:18:21 ]EEEE :28 [°C], 68.99 RH, 0.9225 bar

[ 08:18:22 ]BEB2 :29 [°C], 66.85 RH, 0.9244 bar

[ 08:18:22 ]CECE :29 [°C], 65.95 RH, 0.9238 bar

[ 08:18:25 ]CECE :29 [°C], 66.01 RH, 0.9225 bar

[ 08:18:25 ]DAD1 :29 [°C], 63.92 RH, 0.9238 bar

[ 08:18:25 ]BEB2 :29 [°C], 66.79 RH, 0.9232 bar

[ 08:18:25 ]CCCC :30 [°C], 61.12 RH, 0.9232 bar

[ 08:18:25 ]EEEE :28 [°C], 68.96 RH, 0.9238 bar

[ 08:18:28 ]CECE :29 [°C], 66.04 RH, 0.9238 bar

[ 08:18:28 ]EEEE :28 [°C], 68.91 RH, 0.9244 bar

[ 08:18:28 ]BEB2 :29 [°C], 66.78 RH, 0.9232 bar

[ 08:18:28 ]DAD1 :29 [°C], 63.94 RH, 0.9238 bar

[ 08:18:37 ]EEEE :28 [°C], 68.87 RH, 0.9232 bar

[ 08:18:37 ]CCCC :30 [°C], 61.26 RH, 0.9219 bar

[ 08:18:37 ]BEB2 :29 [°C], 66.58 RH, 0.9232 bar

[ 08:18:37 ]CECE :29 [°C], 66.04 RH, 0.9225 bar

[ 08:18:37 ]DAD1 :29 [°C], 63.92 RH, 0.9238 bar

[ 08:18:40 ]CCCC :30 [°C], 61.26 RH, 0.9244 bar

[ 08:18:40 ]DAD1 :29 [°C], 63.94 RH, 0.9251 bar

[ 08:18:40 ]EEEE :28 [°C], 68.87 RH, 0.9238 bar

[ 08:18:40 ]CECE :29 [°C], 65.98 RH, 0.9238 bar

[ 08:18:40 ]BEB2 :29 [°C], 66.49 RH, 0.9244 bar

[ 08:18:43 ]CECE :29 [°C], 65.95 RH, 0.9225 bar

[ 08:18:43 ]EEEE :28 [°C], 68.87 RH, 0.9244 bar

[ 08:18:43 ]DAD1 :29 [°C], 63.92 RH, 0.9238 bar

[ 08:18:43 ]CCCC :30 [°C], 61.24 RH, 0.9232 bar

[ 08:18:43 ]BEB2 :29 [°C], 66.44 RH, 0.9232 bar

[ 08:18:52 ]CECE :29 [°C], 65.77 RH, 0.9238 bar

[ 08:18:52 ]EEEE :28 [°C], 68.81 RH, 0.9232 bar

[ 08:18:52 ]BEB2 :29 [°C], 66.10 RH, 0.9232 bar

[ 08:18:52 ]CCCC :29 [°C], 61.15 RH, 0.9257 bar

[ 08:18:52 ]DAD1 :29 [°C], 63.72 RH, 0.9238 bar

[ 08:18:58 ]CECE :29 [°C], 65.59 RH, 0.9225 bar

[ 08:18:58 ]EEEE :28 [°C], 68.81 RH, 0.9232 bar

[ 08:18:58 ]DAD1 :29 [°C], 63.72 RH, 0.9225 bar

[ 08:18:58 ]CCCC :29 [°C], 61.18 RH, 0.9244 bar

[ 08:18:58 ]BEB2 :29 [°C], 66.10 RH, 0.9232 bar

[ 08:19:01 ]CECE :29 [°C], 65.47 RH, 0.9238 bar

[ 08:19:01 ]DAD1 :29 [°C], 63.72 RH, 0.9238 bar

[ 08:19:01 ]BEB2 :29 [°C], 66.13 RH, 0.9232 bar

[ 08:19:01 ]CCCC :29 [°C], 61.26 RH, 0.9244 bar

[ 08:19:01 ]EEEE :28 [°C], 68.78 RH, 0.9232 bar

[ 08:19:04 ]CCCC :29 [°C], 61.50 RH, 0.9244 bar

[ 08:19:04 ]BEB2 :29 [°C], 66.16 RH, 0.9257 bar

[ 08:19:04 ]DAD1 :29 [°C], 63.74 RH, 0.9244 bar

[ 08:19:04 ]CECE :29 [°C], 65.44 RH, 0.9225 bar

[ 08:19:10 ]EEEE :28 [°C], 69.20 RH, 0.9244 bar

[ 08:19:10 ]CCCC :29 [°C], 61.77 RH, 0.9251 bar

[ 08:19:10 ]CECE :29 [°C], 65.44 RH, 0.9251 bar

[ 08:19:10 ]DAD1 :29 [°C], 63.80 RH, 0.9225 bar

[ 08:19:10 ]BEB2 :29 [°C], 66.36 RH, 0.9244 bar

[ 08:19:19 ]EEEE :28 [°C], 69.50 RH, 0.9232 bar

[ 08:19:19 ]BEB2 :29 [°C], 66.49 RH, 0.9251 bar

[ 08:19:19 ]CCCC :29 [°C], 62.12 RH, 0.9244 bar

[ 08:19:19 ]CECE :29 [°C], 65.83 RH, 0.9238 bar

[ 08:19:19 ]DAD1 :29 [°C], 63.89 RH, 0.9238 bar

[ 08:19:22 ]EEEE :28 [°C], 69.56 RH, 0.9238 bar

[ 08:19:22 ]CECE :29 [°C], 65.83 RH, 0.9251 bar

[ 08:19:22 ]DAD1 :29 [°C], 63.89 RH, 0.9244 bar

[ 08:19:22 ]CCCC :29 [°C], 62.24 RH, 0.9244 bar

[ 08:19:22 ]BEB2 :29 [°C], 66.56 RH, 0.9232 bar

[ 08:19:25 ]EEEE :28 [°C], 69.78 RH, 0.9232 bar

[ 08:19:25 ]CCCC :29 [°C], 62.39 RH, 0.9238 bar

[ 08:19:25 ]CECE :29 [°C], 65.92 RH, 0.9238 bar

[ 08:19:25 ]DAD1 :29 [°C], 64.03 RH, 0.9244 bar

[ 08:19:26 ]BEB2 :29 [°C], 66.58 RH, 0.9251 bar

[ 08:19:28 ]CCCC :29 [°C], 62.53 RH, 0.9225 bar

[ 08:19:28 ]BEB2 :29 [°C], 66.58 RH, 0.9251 bar

[ 08:19:28 ]CECE :29 [°C], 66.01 RH, 0.9238 bar

[ 08:19:28 ]DAD1 :29 [°C], 64.20 RH, 0.9263 bar

[ 08:19:28 ]EEEE :27 [°C], 69.95 RH, 0.9232 bar

[ 08:19:34 ]CECE :29 [°C], 66.24 RH, 0.9238 bar

[ 08:19:34 ]BEB2 :29 [°C], 66.56 RH, 0.9251 bar

[ 08:19:34 ]EEEE :27 [°C], 70.19 RH, 0.9244 bar

[ 08:19:34 ]DAD1 :29 [°C], 64.31 RH, 0.9238 bar

[ 08:19:34 ]CCCC :29 [°C], 62.69 RH, 0.9238 bar

[ 08:19:37 ]DAD1 :29 [°C], 64.31 RH, 0.9257 bar

[ 08:19:37 ]BEB2 :29 [°C], 66.46 RH, 0.9244 bar

[ 08:19:37 ]EEEE :27 [°C], 70.33 RH, 0.9238 bar

[ 08:19:37 ]CCCC :29 [°C], 62.69 RH, 0.9251 bar

[ 08:19:37 ]CECE :29 [°C], 66.36 RH, 0.9238 bar

[ 08:19:40 ]CECE :29 [°C], 66.36 RH, 0.9232 bar

[ 08:19:40 ]CCCC :29 [°C], 62.69 RH, 0.9244 bar

[ 08:19:40 ]BEB2 :29 [°C], 66.41 RH, 0.9251 bar

[ 08:19:40 ]DAD1 :29 [°C], 64.31 RH, 0.9251 bar

[ 08:19:40 ]EEEE :27 [°C], 70.45 RH, 0.9238 bar

[ 08:19:43 ]CCCC :29 [°C], 62.72 RH, 0.9238 bar

[ 08:19:43 ]EEEE :27 [°C], 70.61 RH, 0.9238 bar

[ 08:19:44 ]BEB2 :29 [°C], 66.41 RH, 0.9251 bar

[ 08:19:44 ]DAD1 :29 [°C], 64.34 RH, 0.9238 bar

[ 08:19:46 ]CECE :29 [°C], 66.42 RH, 0.9225 bar

[ 08:19:46 ]EEEE :27 [°C], 70.69 RH, 0.9238 bar

[ 08:19:46 ]DAD1 :29 [°C], 64.45 RH, 0.9244 bar

[ 08:19:47 ]CCCC :29 [°C], 62.75 RH, 0.9238 bar

[ 08:19:47 ]BEB2 :29 [°C], 66.46 RH, 0.9251 bar

[ 08:19:52 ]EEEE :27 [°C], 70.77 RH, 0.9238 bar

[ 08:19:52 ]CCCC :29 [°C], 62.84 RH, 0.9238 bar

[ 08:19:53 ]BEB2 :29 [°C], 66.49 RH, 0.9251 bar

[ 08:19:53 ]CECE :29 [°C], 66.57 RH, 0.9238 bar

[ 08:19:53 ]DAD1 :29 [°C], 64.67 RH, 0.9251 bar

[ 08:20:02 ]EEEE :27 [°C], 70.93 RH, 0.9238 bar

[ 08:20:02 ]DAD1 :29 [°C], 64.79 RH, 0.9244 bar

[ 08:20:02 ]CCCC :29 [°C], 62.95 RH, 0.9232 bar

[ 08:20:02 ]BEB2 :29 [°C], 66.53 RH, 0.9251 bar

[ 08:20:02 ]CECE :29 [°C], 66.88 RH, 0.9232 bar

[ 08:20:05 ]EEEE :27 [°C], 71.02 RH, 0.9206 bar

[ 08:20:05 ]DAD1 :29 [°C], 64.81 RH, 0.9244 bar

[ 08:20:05 ]CECE :29 [°C], 66.96 RH, 0.9244 bar

[ 08:20:05 ]CCCC :29 [°C], 63.01 RH, 0.9251 bar

[ 08:20:05 ]BEB2 :29 [°C], 66.53 RH, 0.9232 bar

[ 08:20:08 ]CECE :29 [°C], 67.04 RH, 0.9238 bar

[ 08:20:08 ]CCCC :29 [°C], 63.10 RH, 0.9238 bar

[ 08:20:08 ]EEEE :27 [°C], 71.05 RH, 0.9251 bar

[ 08:20:08 ]DAD1 :29 [°C], 64.89 RH, 0.9238 bar

[ 08:20:08 ]BEB2 :29 [°C], 66.53 RH, 0.9263 bar

[ 08:20:11 ]DAD1 :29 [°C], 64.92 RH, 0.9244 bar

[ 08:20:11 ]EEEE :27 [°C], 71.05 RH, 0.9232 bar

[ 08:20:11 ]CECE :29 [°C], 67.07 RH, 0.9232 bar

[ 08:20:11 ]BEB2 :29 [°C], 66.56 RH, 0.9244 bar

[ 08:20:11 ]CCCC :29 [°C], 63.10 RH, 0.9238 bar

[ 08:20:14 ]BEB2 :29 [°C], 66.56 RH, 0.9238 bar

[ 08:20:14 ]CCCC :29 [°C], 63.19 RH, 0.9238 bar

[ 08:20:14 ]EEEE :27 [°C], 71.10 RH, 0.9225 bar

[ 08:20:14 ]CECE :29 [°C], 67.08 RH, 0.9251 bar

[ 08:20:14 ]DAD1 :29 [°C], 64.95 RH, 0.9244 bar

[ 08:20:17 ]CECE :29 [°C], 67.00 RH, 0.9238 bar

[ 08:20:17 ]BEB2 :29 [°C], 66.56 RH, 0.9251 bar

[ 08:20:17 ]EEEE :27 [°C], 71.22 RH, 0.9238 bar

[ 08:20:17 ]DAD1 :29 [°C], 65.01 RH, 0.9238 bar

[ 08:20:17 ]CCCC :29 [°C], 63.22 RH, 0.9251 bar

[ 08:20:20 ]CCCC :29 [°C], 63.19 RH, 0.9238 bar

[ 08:20:20 ]BEB2 :29 [°C], 66.58 RH, 0.9251 bar

[ 08:20:20 ]DAD1 :29 [°C], 65.07 RH, 0.9244 bar

[ 08:20:20 ]EEEE :27 [°C], 71.30 RH, 0.9244 bar

[ 08:20:20 ]CECE :29 [°C], 66.88 RH, 0.9225 bar

[ 08:20:23 ]DAD1 :29 [°C], 65.09 RH, 0.9244 bar

[ 08:20:23 ]BEB2 :29 [°C], 66.58 RH, 0.9238 bar

[ 08:20:23 ]CCCC :29 [°C], 63.24 RH, 0.9238 bar

[ 08:20:23 ]CECE :29 [°C], 66.82 RH, 0.9238 bar

[ 08:20:23 ]EEEE :27 [°C], 71.32 RH, 0.9238 bar

[ 08:20:26 ]BEB2 :29 [°C], 66.61 RH, 0.9238 bar

[ 08:20:26 ]EEEE :27 [°C], 71.38 RH, 0.9219 bar

[ 08:20:26 ]CCCC :29 [°C], 63.31 RH, 0.9238 bar

[ 08:20:26 ]CECE :29 [°C], 66.88 RH, 0.9232 bar

[ 08:20:26 ]DAD1 :29 [°C], 65.08 RH, 0.9244 bar

[ 08:20:29 ]CECE :29 [°C], 66.94 RH, 0.9251 bar

[ 08:20:29 ]DAD1 :29 [°C], 65.14 RH, 0.9238 bar

[ 08:20:29 ]EEEE :27 [°C], 71.35 RH, 0.9238 bar

[ 08:20:29 ]CCCC :29 [°C], 63.34 RH, 0.9238 bar

[ 08:20:29 ]BEB2 :29 [°C], 66.64 RH, 0.9251 bar

[ 08:20:35 ]DAD1 :29 [°C], 65.20 RH, 0.9244 bar

[ 08:20:35 ]CECE :29 [°C], 67.00 RH, 0.9238 bar

[ 08:20:35 ]BEB2 :29 [°C], 66.58 RH, 0.9244 bar

[ 08:20:35 ]CCCC :29 [°C], 63.40 RH, 0.9238 bar

[ 08:20:35 ]EEEE :27 [°C], 71.32 RH, 0.9219 bar

[ 08:20:38 ]DAD1 :29 [°C], 65.21 RH, 0.9238 bar

[ 08:20:38 ]EEEE :27 [°C], 71.42 RH, 0.9238 bar

[ 08:20:38 ]CCCC :29 [°C], 63.37 RH, 0.9251 bar

[ 08:20:38 ]CECE :29 [°C], 67.00 RH, 0.9251 bar

[ 08:20:38 ]BEB2 :29 [°C], 66.61 RH, 0.9251 bar

[ 08:20:41 ]CECE :29 [°C], 66.97 RH, 0.9232 bar

[ 08:20:41 ]BEB2 :29 [°C], 66.67 RH, 0.9244 bar

[ 08:20:41 ]DAD1 :29 [°C], 65.12 RH, 0.9244 bar

[ 08:20:41 ]EEEE :27 [°C], 71.38 RH, 0.9244 bar

[ 08:20:41 ]CCCC :29 [°C], 63.37 RH, 0.9238 bar

[ 08:20:44 ]BEB2 :29 [°C], 66.67 RH, 0.9251 bar

[ 08:20:44 ]EEEE :27 [°C], 71.43 RH, 0.9238 bar

[ 08:20:45 ]CCCC :29 [°C], 63.34 RH, 0.9232 bar

[ 08:20:45 ]CECE :29 [°C], 66.88 RH, 0.9232 bar

[ 08:20:45 ]DAD1 :29 [°C], 65.07 RH, 0.9244 bar

[ 08:20:56 ]BEB2 :29 [°C], 66.69 RH, 0.9238 bar

[ 08:20:56 ]CCCC :29 [°C], 63.57 RH, 0.9251 bar

[ 08:20:56 ]EEEE :27 [°C], 71.68 RH, 0.9251 bar

[ 08:20:57 ]DAD1 :29 [°C], 65.18 RH, 0.9244 bar

[ 08:20:57 ]CECE :29 [°C], 66.72 RH, 0.9238 bar

[ 08:21:00 ]DAD1 :29 [°C], 65.17 RH, 0.9244 bar

[ 08:21:00 ]EEEE :27 [°C], 71.71 RH, 0.9244 bar

[ 08:21:00 ]CCCC :29 [°C], 63.60 RH, 0.9232 bar

[ 08:21:00 ]CECE :29 [°C], 66.72 RH, 0.9232 bar

[ 08:21:00 ]BEB2 :29 [°C], 66.69 RH, 0.9251 bar

[ 08:21:03 ]BEB2 :29 [°C], 66.69 RH, 0.9251 bar

[ 08:21:03 ]EEEE :27 [°C], 71.74 RH, 0.9244 bar

[ 08:21:03 ]CECE :29 [°C], 66.74 RH, 0.9232 bar

[ 08:21:03 ]CCCC :29 [°C], 63.60 RH, 0.9251 bar

[ 08:21:03 ]DAD1 :29 [°C], 65.24 RH, 0.9244 bar

[ 08:21:06 ]BEB2 :29 [°C], 66.67 RH, 0.9257 bar

[ 08:21:06 ]DAD1 :29 [°C], 65.18 RH, 0.9232 bar

[ 08:21:06 ]CCCC :29 [°C], 63.63 RH, 0.9238 bar

[ 08:21:06 ]CECE :29 [°C], 66.82 RH, 0.9251 bar

